county,population,summer_2020_cases,summer_2020_doses_administered,summer_2020_pfizer_doses,summer_2020_moderna_doses,summer_2020_jj_doses,summer_2020_partially_vaccinated,summer_2020_at_least_one_dose,summer_2020_fully_vaccinated,summer_2020_partially_vaccinated_percent,summer_2020_at_least_one_dose_percent,summer_2020_fully_vaccinated_percent,summer_2020_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent,summer_2020_cases_per_100000
Sacramento,1567975,18593,166,110,56,0,103,103,63,4.370000000000001e-05,6.82e-05,4.17e-05,0.120679966,0.613562719,0.004529258,0.361067034,0.013598909,0.00724208,0.18593
Ventura,852747,9063,21,17,4,0,11,12,9,1.3e-05,1.41e-05,1.06e-05,0.112426036,0.594543842,0.004176669,0.383626796,0.011988411,0.005664282,0.09063
San Mateo,778001,6696,36,31,5,0,21,21,14,2.09e-05,2.7399999999999995e-05,1.83e-05,0.093793747,0.7788783459999999,0.004261846,0.201960716,0.009496301,0.005402791,0.06696
Humboldt,134098,357,1,1,0,0,1,1,0,7.37e-06,7.37e-06,0.0,0.10652921,0.650291242,0.009078628,0.316226777,0.016443211,0.007960141,0.00357
Riverside,2468145,35825,56,18,38,0,34,35,22,7.97e-06,1.47e-05,9.23e-06,0.13173111699999998,0.529846885,0.003381617,0.450425009,0.009998436,0.0063480540000000005,0.35825
Yolo,223612,2138,50,30,20,0,29,30,21,8.840000000000001e-05,0.00013955,9.77e-05,0.091341579,0.694780768,0.005622135,0.280510617,0.01239542,0.00669106,0.02138
Santa Cruz,273999,2032,5,4,1,0,3,3,2,1.1e-05,1.1e-05,7.31e-06,0.106161841,0.788790157,0.007332381,0.185981483,0.01176495,0.00613103,0.02032
Orange,3228519,31802,123,102,21,0,82,82,41,1.52e-05,2.59e-05,1.3e-05,0.123227352,0.53478881,0.003822975,0.444446634,0.011382204,0.005559377,0.31802
Tulare,484423,10995,1,1,0,0,1,1,0,2.17e-06,2.17e-06,0.0,0.149489796,0.450045954,0.003288287,0.528161487,0.010198455,0.008305817,0.10995
Alpine,1117,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.152173913,0.642375169,0.005398111,0.32928475,0.020242915,0.002699055,2e-05
Mariposa,17795,44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.112771739,0.39766537,0.003793774,0.578793774,0.015077821000000003,0.004669261,0.00044
Amador,38531,266,0,0,0,0,0,0,0,0.0,0.0,0.0,0.115891742,0.365539813,0.004931851,0.6090835720000001,0.015647418,0.004797346,0.00266
Sierra,3115,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.08730158699999999,0.378042465,0.0067322630000000005,0.591403418,0.013982393,0.009839461,5e-05
San Luis Obispo,278862,2922,0,0,0,0,0,0,0,0.0,0.0,0.0,0.098634294,0.552925855,0.004971386,0.422229736,0.01507695,0.004796073,0.02922
San Bernardino,2217398,36158,19,6,13,0,13,13,6,3.75e-06,6.09e-06,2.81e-06,0.12686722,0.54196022,0.004302545,0.435434475,0.010451417,0.007851343,0.36158
Merced,287420,7185,5,5,0,0,3,3,2,1.11e-05,1.11e-05,7.43e-06,0.13898917,0.541014201,0.004284736,0.435066369,0.01039159,0.009243104,0.07185
Solano,444255,4563,5,5,0,0,3,3,2,4.56e-06,6.84e-06,4.56e-06,0.120868278,0.639406053,0.004653264,0.336637895,0.012021741,0.0072810459999999985,0.04563
Glenn,29348,442,4,2,2,0,2,2,2,7.170000000000001e-05,7.170000000000001e-05,7.170000000000001e-05,0.101556102,0.353633708,0.003009649,0.625210233,0.011330442,0.006815969,0.00442
Mendocino,88439,846,1,0,1,0,1,1,0,1.14e-05,1.14e-05,0.0,0.108843537,0.664097831,0.009090909,0.306114444,0.013636364,0.007060451999999998,0.00846
Los Angeles,10257557,152710,505,433,69,3,317,323,186,1.93e-05,3.2e-05,1.84e-05,0.178748553,0.710278084,0.005079303,0.268628506,0.008313547,0.00770056,1.5271
Yuba,79290,1006,2,0,2,0,1,1,1,1.32e-05,1.32e-05,1.32e-05,0.122516556,0.376896228,0.004161632,0.593233991,0.017116391,0.008591757,0.01006
Marin,260800,3734,9,9,0,0,5,5,4,1.15e-05,1.92e-05,1.5399999999999998e-05,0.090557276,0.823256112,0.004646089,0.15794134599999998,0.009856895,0.004299557,0.03734
Del Norte,27558,87,0,0,0,0,0,0,0,0.0,0.0,0.0,0.110869565,0.408364621,0.006810443,0.564131669,0.013097005,0.0075962630000000015,0.00087
Santa Clara,1967585,16579,125,118,7,0,71,72,55,2.08e-05,3.75e-05,2.8600000000000007e-05,0.093169533,0.7263867620000001,0.004748801,0.25226479,0.010732996000000002,0.00586665,0.16579
Kern,927251,22756,3,3,0,0,2,2,1,2.26e-06,2.26e-06,1.13e-06,0.151962075,0.436847346,0.003517943,0.538775992,0.012912228,0.007946491,0.22756
Nevada,98710,400,2,2,0,0,1,1,1,1.01e-05,1.01e-05,1.01e-05,0.10028096,0.561528958,0.005328185,0.41357529,0.01419305,0.005374517,0.004
Tehama,65885,543,24,6,18,0,13,13,11,0.000173575,0.000205135,0.000173575,0.103146157,0.310152797,0.003132505,0.666214194,0.014026661,0.006473844,0.00543
San Joaquin,782545,14885,15,10,5,0,7,8,8,5.46e-06,1.09e-05,1.09e-05,0.13841978300000002,0.556064752,0.003671738,0.417894893,0.010107633,0.012260983,0.14885
